candidate_id,rank,score,reasoning
CAND_0053591,1,0.542635,"Senior AI Engineer with 5.3 years of proven experience, particularly in Sentence Transformers, OpenSearch. Demonstrates strong recruiter engagement (81% response rate), making them a strong match for the role."
CAND_0039754,2,0.533768,"Senior Applied Scientist with 16.2 years of proven experience, particularly in Python, OpenSearch. Demonstrates strong recruiter engagement (81% response rate), making them a strong match for the role."
CAND_0081846,3,0.526161,"Senior Lead AI Engineer with 6.7 years of proven experience, particularly in Embeddings, Information Retrieval. Demonstrates strong recruiter engagement (73% response rate), making them a strong match for the role."
CAND_0006567,4,0.523861,"Senior AI Engineer with 7.9 years of proven experience, particularly in Prompt Engineering, Content Matching. Demonstrates strong recruiter engagement (79% response rate), making them a strong match for the role."
CAND_0098454,5,0.523575,"Senior AI Specialist with 6.6 years of proven experience, particularly in Feature Engineering, GANs. Demonstrates strong recruiter engagement (87% response rate), making them a strong match for the role."
CAND_0025640,6,0.51543,"Senior AI Research Engineer with 5.6 years of proven experience, particularly in FAISS, Elasticsearch. Demonstrates strong recruiter engagement (87% response rate), making them a strong match for the role."
CAND_0002025,7,0.514349,"Senior AI Engineer with 5.9 years of proven experience, particularly in FAISS, TensorFlow. Demonstrates strong recruiter engagement (80% response rate), making them a strong match for the role."
CAND_0041079,8,0.513274,"Java Developer with 1.5 years of experience and a high recruiter response rate (81%). Skills in PEFT, Snowflake align well with the job requirements."
CAND_0045081,9,0.513067,"Senior Software Engineer with 6.7 years of proven experience, particularly in Forecasting, SAP. Demonstrates strong recruiter engagement (85% response rate), making them a strong match for the role."
CAND_0069905,10,0.512789,"Senior Applied ML Engineer with 6.6 years of proven experience, particularly in Weaviate, Recommendation Systems. Demonstrates strong recruiter engagement (78% response rate), making them a strong match for the role."
CAND_0067170,11,0.511693,"Senior Software Engineer with 5.3 years of proven experience, particularly in YOLO, Go. Demonstrates strong recruiter engagement (78% response rate), making them a strong match for the role."
CAND_0023217,12,0.511291,"Senior Software Engineer with 10.0 years of proven experience, particularly in TTS, Terraform. Demonstrates strong recruiter engagement (79% response rate), making them a strong match for the role."
CAND_0041874,13,0.510091,"Senior Frontend Engineer with 9.7 years of proven experience, particularly in Deep Learning, ASR. Demonstrates strong recruiter engagement (82% response rate), making them a strong match for the role."
CAND_0064326,14,0.510064,"Senior Search Engineer with 7.6 years of proven experience, particularly in QLoRA, Deep Learning. Demonstrates strong recruiter engagement (94% response rate), making them a strong match for the role."
CAND_0076974,15,0.509983,"Senior Frontend Engineer with 9.3 years of proven experience, particularly in CNN, Databricks. Demonstrates strong recruiter engagement (82% response rate), making them a strong match for the role."
CAND_0007596,16,0.509935,"Junior ML Engineer with 4.4 years of experience and a high recruiter response rate (86%). Skills in YOLO, OpenCV align well with the job requirements."
CAND_0088025,17,0.50899,"Senior Staff Machine Learning Engineer with 8.6 years of proven experience, particularly in Learning to Rank, TensorFlow. Demonstrates strong recruiter engagement (83% response rate), making them a strong match for the role."
CAND_0077337,18,0.505785,"Senior Staff Machine Learning Engineer with 7.0 years of proven experience, particularly in Recommendation Systems, Python. Demonstrates strong recruiter engagement (95% response rate), making them a strong match for the role."
CAND_0090300,19,0.505751,"Senior AI Research Engineer with 5.3 years of proven experience, particularly in BentoML, CI/CD. Demonstrates strong recruiter engagement (94% response rate), making them a strong match for the role."
CAND_0085140,20,0.505461,"Senior Full Stack Developer with 9.5 years of proven experience, particularly in Kubeflow, Reinforcement Learning. Demonstrates strong recruiter engagement (77% response rate), making them a strong match for the role."
CAND_0064995,21,0.504683,"Senior Software Engineer with 9.3 years of proven experience, particularly in Angular, Speech Recognition. Demonstrates strong recruiter engagement (82% response rate), making them a strong match for the role."
CAND_0003492,22,0.504313,"Software Engineer with 3.2 years of experience and a high recruiter response rate (83%). Skills in YOLO, Next.js align well with the job requirements."
CAND_0002246,23,0.50424,"Senior Full Stack Developer with 8.2 years of proven experience, particularly in Haystack, Sales. Demonstrates strong recruiter engagement (84% response rate), making them a strong match for the role."
CAND_0016699,24,0.50418,"Senior Frontend Engineer with 9.0 years of proven experience, particularly in Python, React. Demonstrates strong recruiter engagement (84% response rate), making them a strong match for the role."
CAND_0090153,25,0.504102,"Software Engineer with 2.1 years of experience and a high recruiter response rate (83%). Skills in Kafka, BigQuery align well with the job requirements."
CAND_0037715,26,0.50359,"Senior Mobile Developer with 7.6 years of proven experience, particularly in Forecasting, Vue.js. Demonstrates strong recruiter engagement (76% response rate), making them a strong match for the role."
CAND_0067357,27,0.503495,"Senior Java Developer with 8.8 years of proven experience, particularly in Vector Search, ASR. Demonstrates strong recruiter engagement (70% response rate), making them a strong match for the role."
CAND_0069355,28,0.503411,"Software Engineer with 4.3 years of experience and a high recruiter response rate (81%). Skills in Computer Vision, LoRA align well with the job requirements."
CAND_0099965,29,0.503343,"Junior ML Engineer with 4.6 years of experience and a high recruiter response rate (88%). Skills in CNN, OpenSearch align well with the job requirements."
CAND_0084191,30,0.503316,"Full Stack Developer with 2.8 years of experience and a high recruiter response rate (76%). Skills in BigQuery, Illustrator align well with the job requirements."
CAND_0081127,31,0.503052,"Senior Java Developer with 8.3 years of proven experience, particularly in pgvector, SEO. Demonstrates strong recruiter engagement (73% response rate), making them a strong match for the role."
CAND_0072547,32,0.503013,"Senior Software Engineer (ML) with 5.1 years of proven experience, particularly in Information Retrieval, Machine Learning. Demonstrates strong recruiter engagement (81% response rate), making them a strong match for the role."
CAND_0039838,33,0.502825,"Recommendation Systems Engineer with 4.9 years of experience and a high recruiter response rate (80%). Skills in LoRA, Vector Search align well with the job requirements."
CAND_0089444,34,0.501537,"AI Specialist with 4.5 years of experience and a high recruiter response rate (88%). Skills in OpenSearch, Weights & Biases align well with the job requirements."
CAND_0079064,35,0.500895,"Senior Data Scientist with 5.2 years of proven experience, particularly in Fine-tuning LLMs, Pinecone. Demonstrates strong recruiter engagement (91% response rate), making them a strong match for the role."
CAND_0082961,36,0.500748,"Senior Frontend Engineer with 8.6 years of proven experience, particularly in Forecasting, SQL. Demonstrates strong recruiter engagement (80% response rate), making them a strong match for the role."
CAND_0010866,37,0.500686,"Java Developer with 3.6 years of experience and a high recruiter response rate (82%). Skills in Vector Search, Photoshop align well with the job requirements."
CAND_0076245,38,0.50067,"Mobile Developer with 2.3 years of experience and a high recruiter response rate (83%). Skills in Information Retrieval, Weights & Biases align well with the job requirements."
CAND_0059795,39,0.500451,"Senior Software Engineer (ML) with 5.6 years of proven experience, particularly in Data Science, Forecasting. Demonstrates strong recruiter engagement (75% response rate), making them a strong match for the role."
CAND_0033350,40,0.50039,"Senior Data Scientist with 6.2 years of proven experience, particularly in BM25, Kubeflow. Demonstrates strong recruiter engagement (85% response rate), making them a strong match for the role."
CAND_0068351,41,0.500312,"Senior Lead AI Engineer with 6.4 years of proven experience, particularly in PEFT, Open-source ML libraries. Demonstrates strong recruiter engagement (86% response rate), making them a strong match for the role."
CAND_0042502,42,0.500117,"Senior Full Stack Developer with 5.6 years of proven experience, particularly in Rust, QLoRA. Demonstrates strong recruiter engagement (76% response rate), making them a strong match for the role."
CAND_0085703,43,0.500108,"Frontend Engineer with 2.9 years of experience and a high recruiter response rate (85%). Skills in Data Science, OpenCV align well with the job requirements."
CAND_0080462,44,0.500043,"Senior Java Developer with 6.9 years of proven experience, particularly in TTS, ASR. Demonstrates strong recruiter engagement (83% response rate), making them a strong match for the role."
CAND_0050254,45,0.500031,"Senior Software Engineer with 6.6 years of proven experience, particularly in YOLO, Sentence Transformers. Demonstrates strong recruiter engagement (83% response rate), making them a strong match for the role."
CAND_0051275,46,0.499993,"Senior Software Engineer with 6.2 years of proven experience, particularly in Accounting, OpenSearch. Demonstrates strong recruiter engagement (84% response rate), making them a strong match for the role."
CAND_0018722,47,0.499962,"Senior Recommendation Systems Engineer with 6.6 years of proven experience, particularly in Hugging Face Transformers, Weaviate. Demonstrates strong recruiter engagement (79% response rate), making them a strong match for the role."
CAND_0082030,48,0.49954,"Software Engineer with 4.3 years of experience. Technical strengths in Next.js, Milvus align with the role, though engagement signals are comparatively moderate."
CAND_0034164,49,0.499372,"Data Scientist with 3.6 years of experience and a high recruiter response rate (84%). Skills in Speech Recognition, Computer Vision align well with the job requirements."
CAND_0076638,50,0.498896,"Full Stack Developer with 4.9 years of experience and a high recruiter response rate (83%). Skills in SEO, Vue.js align well with the job requirements."
CAND_0050015,51,0.498723,"Senior Software Engineer with 5.6 years of proven experience, particularly in Speech Recognition, CNN. Demonstrates strong recruiter engagement (81% response rate), making them a strong match for the role."
CAND_0067685,52,0.498435,"Senior Java Developer with 5.8 years of proven experience, particularly in Qdrant, GANs. Demonstrates strong recruiter engagement (82% response rate), making them a strong match for the role."
CAND_0027292,53,0.498342,"Full Stack Developer with 2.7 years of experience and a high recruiter response rate (82%). Skills in Kubeflow, Redis align well with the job requirements."
CAND_0033040,54,0.498066,"Full Stack Developer with 1.8 years of experience and a high recruiter response rate (84%). Skills in Kafka, PowerPoint align well with the job requirements."
CAND_0093275,55,0.497452,"Java Developer with 1.2 years of experience and a high recruiter response rate (84%). Skills in Learning to Rank, Diffusion Models align well with the job requirements."
CAND_0029680,56,0.497378,"Full Stack Developer with 1.9 years of experience and a high recruiter response rate (81%). Skills in Prompt Engineering, Java align well with the job requirements."
CAND_0044563,57,0.497197,"Senior Full Stack Developer with 6.0 years of proven experience, particularly in Redis, Weaviate. Demonstrates strong recruiter engagement (69% response rate), making them a strong match for the role."
CAND_0078002,58,0.496886,"Senior Machine Learning Engineer with 6.3 years of proven experience, particularly in QLoRA, TensorFlow. Demonstrates strong recruiter engagement (86% response rate), making them a strong match for the role."
CAND_0012680,59,0.496563,"Java Developer with 3.7 years of experience and a high recruiter response rate (85%). Skills in Weaviate, CNN align well with the job requirements."
CAND_0004337,60,0.496529,"Senior Frontend Engineer with 7.1 years of proven experience, particularly in SAP, Feature Engineering. Demonstrates strong recruiter engagement (83% response rate), making them a strong match for the role."
CAND_0078428,61,0.496344,"Senior Mobile Developer with 7.9 years of proven experience, particularly in Vue.js, Illustrator. Demonstrates strong recruiter engagement (77% response rate), making them a strong match for the role."
CAND_0064968,62,0.49594,"Senior Mobile Developer with 9.1 years of proven experience, particularly in GCP, Marketing. Demonstrates strong recruiter engagement (78% response rate), making them a strong match for the role."
CAND_0043637,63,0.495891,"Senior Junior ML Engineer with 5.5 years of proven experience, particularly in Learning to Rank, PyTorch. Demonstrates strong recruiter engagement (92% response rate), making them a strong match for the role."
CAND_0014458,64,0.49589,"Senior Frontend Engineer with 8.2 years of proven experience, particularly in Flask, Illustrator. Demonstrates strong recruiter engagement (85% response rate), making them a strong match for the role."
CAND_0045237,65,0.495875,"Senior Full Stack Developer with 7.8 years of proven experience, particularly in Semantic Search, Tally. Demonstrates strong recruiter engagement (77% response rate), making them a strong match for the role."
CAND_0074317,66,0.495805,"AI Research Engineer with 4.2 years of experience and a high recruiter response rate (86%). Skills in Pinecone, Kubeflow align well with the job requirements."
CAND_0008295,67,0.495565,"Senior AI Research Engineer with 6.5 years of proven experience, particularly in BM25, Python. Demonstrates strong recruiter engagement (89% response rate), making them a strong match for the role."
CAND_0024878,68,0.494773,"Senior AI Specialist with 5.7 years of proven experience, particularly in pgvector, PEFT. Demonstrates strong recruiter engagement (84% response rate), making them a strong match for the role."
CAND_0078752,69,0.494717,"Senior Java Developer with 5.3 years of proven experience, particularly in HTML, Time Series. Demonstrates strong recruiter engagement (85% response rate), making them a strong match for the role."
CAND_0089563,70,0.494698,"Senior Java Developer with 9.7 years of proven experience, particularly in Spring Boot, Weights & Biases. Demonstrates strong recruiter engagement (83% response rate), making them a strong match for the role."
CAND_0003639,71,0.494402,"Senior Mobile Developer with 9.1 years of proven experience, particularly in TensorFlow, PostgreSQL. Demonstrates strong recruiter engagement (80% response rate), making them a strong match for the role."
CAND_0022833,72,0.494168,"Senior Full Stack Developer with 5.6 years of proven experience, particularly in Kubernetes, Semantic Search. Demonstrates strong recruiter engagement (82% response rate), making them a strong match for the role."
CAND_0060938,73,0.493684,"Senior Mobile Developer with 9.0 years of proven experience, particularly in Statistical Modeling, TTS. Demonstrates strong recruiter engagement (72% response rate), making them a strong match for the role."
CAND_0073393,74,0.493652,"Frontend Engineer with 1.5 years of experience and a high recruiter response rate (83%). Skills in REST APIs, Figma align well with the job requirements."
CAND_0015984,75,0.4936,"Full Stack Developer with 4.6 years of experience and a high recruiter response rate (83%). Skills in Haystack, CSS align well with the job requirements."
CAND_0070152,76,0.493415,"Senior Software Engineer with 8.6 years of proven experience, particularly in Apache Beam, HTML. Demonstrates strong recruiter engagement (74% response rate), making them a strong match for the role."
CAND_0073809,77,0.493026,"Backend Engineer with 2.8 years of experience and a high recruiter response rate (80%). Skills in Forecasting, Fine-tuning LLMs align well with the job requirements."
CAND_0091356,78,0.492976,"Senior Full Stack Developer with 8.4 years of proven experience, particularly in MLOps, Haystack. Demonstrates strong recruiter engagement (79% response rate), making them a strong match for the role."
CAND_0082942,79,0.49281,"Senior Full Stack Developer with 5.1 years of proven experience, particularly in CNN, Pinecone. Demonstrates strong recruiter engagement (82% response rate), making them a strong match for the role."
CAND_0095619,80,0.492809,"Senior NLP Engineer with 15.6 years of proven experience, particularly in Pinecone, Weaviate. Demonstrates strong recruiter engagement (90% response rate), making them a strong match for the role."
CAND_0089633,81,0.492777,"Frontend Engineer with 3.4 years of experience and a high recruiter response rate (76%). Skills in LlamaIndex, Snowflake align well with the job requirements."
CAND_0077609,82,0.492769,"Senior Mobile Developer with 7.9 years of proven experience, particularly in Weaviate, ETL. Demonstrates strong recruiter engagement (75% response rate), making them a strong match for the role."
CAND_0086699,83,0.49214,"Senior Java Developer with 8.8 years of proven experience, particularly in SAP, React. Demonstrates strong recruiter engagement (79% response rate), making them a strong match for the role."
CAND_0097576,84,0.492032,"Mobile Developer with 2.8 years of experience and a high recruiter response rate (85%). Skills in React, Kubernetes align well with the job requirements."
CAND_0078042,85,0.491996,"Applied ML Engineer with 4.7 years of experience and a high recruiter response rate (91%). Skills in Sentence Transformers, Semantic Search align well with the job requirements."
CAND_0030714,86,0.491508,"Senior Java Developer with 9.0 years of proven experience, particularly in Airflow, PEFT. Demonstrates strong recruiter engagement (72% response rate), making them a strong match for the role."
CAND_0032141,87,0.491498,"Senior Software Engineer with 7.9 years of proven experience, particularly in Marketing, CI/CD. Demonstrates strong recruiter engagement (82% response rate), making them a strong match for the role."
CAND_0040724,88,0.491457,"Senior Software Engineer with 5.8 years of proven experience, particularly in Milvus, YOLO. Demonstrates strong recruiter engagement (76% response rate), making them a strong match for the role."
CAND_0070514,89,0.491278,"Senior AI Specialist with 5.5 years of proven experience, particularly in GANs, OpenSearch. Demonstrates strong recruiter engagement (80% response rate), making them a strong match for the role."
CAND_0042404,90,0.491165,"Frontend Engineer with 1.5 years of experience and a high recruiter response rate (79%). Skills in Elasticsearch, CI/CD align well with the job requirements."
CAND_0064613,91,0.490827,"Full Stack Developer with 1.6 years of experience and a high recruiter response rate (82%). Skills in Object Detection, Recommendation Systems align well with the job requirements."
CAND_0029965,92,0.490808,"Java Developer with 3.0 years of experience and a high recruiter response rate (84%). Skills in TypeScript, Recommendation Systems align well with the job requirements."
CAND_0039880,93,0.490629,"Software Engineer with 4.9 years of experience and a high recruiter response rate (84%). Skills in ASR, Kubernetes align well with the job requirements."
CAND_0017627,94,0.490545,"Senior Software Engineer with 9.2 years of proven experience, particularly in RAG, Figma. Demonstrates strong recruiter engagement (78% response rate), making them a strong match for the role."
CAND_0049463,95,0.490489,"Software Engineer with 1.3 years of experience and a high recruiter response rate (80%). Skills in YOLO, Spring Boot align well with the job requirements."
CAND_0051468,96,0.490479,"Java Developer with 4.3 years of experience and a high recruiter response rate (85%). Skills in LangChain, gRPC align well with the job requirements."
CAND_0046834,97,0.490412,"Senior Software Engineer with 5.3 years of proven experience, particularly in PostgreSQL, CI/CD. Demonstrates strong recruiter engagement (82% response rate), making them a strong match for the role."
CAND_0038968,98,0.490319,"Senior Software Engineer with 7.4 years of proven experience, particularly in Machine Learning, Reinforcement Learning. Demonstrates strong recruiter engagement (84% response rate), making them a strong match for the role."
CAND_0039546,99,0.490279,"Senior Software Engineer with 6.9 years of proven experience, particularly in CNN, Python. Demonstrates strong recruiter engagement (79% response rate), making them a strong match for the role."
CAND_0025114,100,0.490236,"Frontend Engineer with 5.0 years of experience and a high recruiter response rate (73%). Skills in Information Retrieval, Content Writing align well with the job requirements."
